First process instance # in stats,1
Last process instance # in stats,500

Resource utilization
Resource,Utilization %
Worker 2,QBP_SERVICE_RESOURCE_ID,38
Worker 1,QBP_DEFAULT_RESOURCE,2
Worker 3,qbp_87ff94e0-9320-758f-8c5d-60ecd13c5c8c,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Container arrival,Process_0cpygik.StartEvent_0pdqgev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Container ready for the Shipment,Process_0cpygik.Event_18d3s7n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Container registration in the system,Process_0cpygik.Activity_02npl2c,13.455290000000002,5.0,298.678,6727.645,8.455289999961852,0.0,293.6779999732971,4227.6449999809265,0.0,0.0,0.0,0.0,0.027777777777778064,0.027777777777777776,0.027777777777777776,13.888888888889031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
GATEWAY 5 XOR,Process_0cpygik.Gateway_0cjur9d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Control Area,Process_0cpygik.Activity_17h7iso,5444.339120481928,1519.204,10901.508,451880.14700000006,3640.1008674753716,0.0,9277.888999938965,302128.37200045586,0.0,0.0,0.0,0.0,15.0353187751004,12.518475,17.468425,1247.9314583333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
Move the container to: Ship,Process_0cpygik.Activity_1n3xbqr,5876.577951999996,1516.993,11387.204,2938288.975999998,4064.5016499972344,0.0,9391.927000045776,2032250.8249986172,0.0,0.0,0.0,0.0,15.100635850000007,12.5109,17.498800000000003,7550.317925000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Shipping Area,Process_0cpygik.Activity_14msybm,5307.178149999993,1500.745,11136.28,2653589.0749999965,3501.025508001804,0.0,9103.303000211716,1750512.7540009022,0.0,0.0,0.0,0.0,15.051272016666651,12.501900000000001,17.499491666666668,7525.636008333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Storage Area,Process_0cpygik.Activity_0wjctvv,4958.823524,1500.236,11293.214,2479411.762,3153.689282000065,0.0,9274.733999967575,1576844.6410000324,0.0,0.0,0.0,0.0,15.042785350000011,12.501966666666668,17.4936,7521.3926750000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
