First process instance # in stats,1
Last process instance # in stats,500

Resource utilization
Resource,Utilization %
Worker 2,QBP_SERVICE_RESOURCE_ID,59
Worker 1,QBP_DEFAULT_RESOURCE,2
Worker 3,qbp_5c979e18-21e3-6149-14d2-b69b7cf51ebe,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Container arrival,Process_0cpygik.StartEvent_0pdqgev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Container ready for the Shipment,Process_0cpygik.Event_18d3s7n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Container registration in the system,Process_0cpygik.Activity_02npl2c,15.512445999999997,5.0,304.301,7756.222999999998,10.512446001052856,0.0,299.3010001182556,5256.223000526428,0.0,0.0,0.0,0.0,0.027777777777778064,0.027777777777777776,0.027777777777777776,13.888888888889031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
GATEWAY 4 XOR,Process_0cpygik.Gateway_0cjur9d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Control Area,Process_0cpygik.Activity_0x2h11d,8183.171589999996,1518.15,14698.775,4091585.794999998,6386.39083799839,0.0,13049.028000116348,3193195.418999195,0.0,0.0,0.0,0.0,14.973172933333327,12.50285,17.498191666666667,7486.586466666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Ship,Process_0cpygik.Activity_0f2spc4,8332.120787999995,3291.967,13166.014,4166060.393999997,6533.997157995701,1564.1699998378754,11566.669999837875,3266998.5789978504,0.0,0.0,0.0,0.0,14.984363583333323,12.503933333333332,17.495216666666668,7492.181791666661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Shipping Area,Process_0cpygik.Activity_099yh0b,9164.725928000003,3129.671,14850.43,4582362.964000002,7365.498346003533,1510.3719999790192,12817.667999982834,3682749.173001766,0.0,0.0,0.0,0.0,14.993563183333327,12.503675000000001,17.496891666666667,7496.781591666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Storage Area,Process_0cpygik.Activity_00zf9ax,8884.083921999994,1501.399,14523.108,4442041.960999997,7091.352864000321,0.0,12439.519000053406,3545676.43200016,0.0,0.0,0.0,0.0,14.939425483333324,12.504233333333334,17.48375,7469.712741666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Move the container to: Storage Area,Process_0cpygik.Activity_0myo3uc,6547.4667599999975,1509.971,13780.733,3273733.379999999,4762.660152001858,0.0,12217.918999910355,2381330.076000929,0.0,0.0,0.0,0.0,14.873388399999994,12.501216666666666,17.495958333333334,7436.694199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Quality Check,Process_0cpygik.Activity_16llggr,300.0,300.0,300.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666567,1.6666666666666667,1.6666666666666667,833.3333333333284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Quality?,Process_0cpygik.Gateway_01pr0dg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
Resolve Quality Problems,Process_0cpygik.Activity_1a8zjpp,3602.2746438356166,3600.0,3766.049,262966.049,2.274643835956103,0.0,166.04900002479553,166.04900002479553,0.0,0.0,0.0,0.0,25.0,25.0,25.0,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),13333.591,41953.013532000004,56016.961
Process Cycle Time excluding out of timetable hours (s),13333.591,41953.013532000004,56016.961
Process Waiting Time (s),4563.6900000572205,32150.743902000904,46582.042999982834
Accumulated Process Duration (s),13333.591,41953.013532000004,56016.961
Cost,68.18786111111112,80.10835802777781,110.40931944444445


Process Cycle Time (s) distribution
From,To,Count
